id,0_x,1_x,2_x,3_x,4_x,5,6,7,8,9,10,0_y,1_y,2_y,3_y,4_y
0,0.00030609597160501497,0.0,0.0,0.0,-9.7045259475708,3924.45540777092,0.017406728118658066,0.662082314491272,3863.9282243839198,7658.032325404858,0.044540343496963564,outdoor,british,street,S81,1091.wav
1,0.00023942514765443057,168.84052228340084,27.394508123548604,0.054901960784313725,-12.68513298034668,3354.6216824903936,0.014909526333212852,0.8107966780662537,4373.337646792761,8323.694852941177,0.009006076388888888,outdoor,campus,square,S183,2114.wav
2,0.00041473168504635346,0.0,0.0,0.0,-11.73218059539795,3855.8390048026445,0.020163241773843765,0.5717000961303711,3295.7482053385747,7031.123140325957,0.08709161931818182,indoor,westend,market,S64,1313.wav
3,0.0004687291574810646,0.0,0.0,0.0,-8.620403289794922,5825.834240797148,0.02146337553858757,0.6946212649345398,4406.635488446325,11211.221848548972,0.11226040564540508,outdoor,british,street,S151,0001.wav
4,0.0002787629209855309,237.04969530941523,55.44551704138116,0.11314475873544093,-15.675272941589355,2271.4287761861556,0.01633189246058464,0.4551308751106262,2419.6408695100317,4578.833210924501,0.024275133891430947,indoor,westend,charing,S94,1614.wav
5,0.0003244297483512343,0.0,0.0,0.0,-10.472139358520508,4983.050552498074,0.017779327929019928,0.6157565116882324,5168.297848561282,10719.246636132539,0.03293467303646564,outdoor,british,street,S51,0223.wav
6,0.0005089576316628941,113.13897239278523,0.65350906299728,0.0031446540880503146,-14.656598091125488,3535.322484067815,0.021229609847068787,0.5115477442741394,2536.6003397150976,6111.062103847287,0.1056307426788522,indoor,campus,ground,S146,0432.wav
7,0.00021290516692411767,211.5503497000268,30.85342399200589,0.11346444780635401,-19.89002227783203,2150.1060325611516,0.014380652457475662,0.7646368741989136,3285.3346277388987,4682.836433906959,0.009064597910363086,outdoor,british,street,S8,1418.wav
8,0.0002305019321173344,225.4825653549942,43.49360963113406,0.07534246575342465,-12.968023300170898,3482.274461518258,0.014817825518548489,0.7068352103233337,3495.965613421253,7698.746939881207,0.017018775417380137,outdoor,british,square,S75,2110.wav
9,0.00033317752483674485,118.07044559507328,2.9902360625592848,0.03414634146341464,-13.770184516906738,1841.9400283208859,0.0168058592826128,0.7996116876602173,2596.39359858831,4294.385956554878,0.007886337652439025,indoor,westend,national,S159,0578.wav
10,0.00033073550293804296,124.54295972050892,11.115054063138126,0.16556291390728478,-17.079059600830078,2216.2129137330244,0.018110135570168495,0.840636670589447,4685.453683636464,4793.455010218336,0.0005949917218543046,outdoor,campus,library,S147,1004.wav
11,0.0003253621748921914,100.21315508993024,0.0,0.0030959752321981426,-11.578042030334473,4582.095935324188,0.01753169856965542,0.5769830942153931,3813.815965937197,8700.980719693305,0.09430857560952012,indoor,campus,ground,S82,2371.wav
12,0.0002513020080948172,158.962216263989,11.24213824896622,0.059190031152647975,-13.20653247833252,3303.3842922069193,0.015634283423423767,0.6326715350151062,3779.251582360703,7268.998932169977,0.008618696456386294,indoor,westend,market,S129,0669.wav
13,0.00035068436459191285,113.35617961280514,0.4873789845841113,0.008746355685131196,-12.632669448852539,4598.126874059748,0.018500754609704018,0.5664412975311279,4359.578761699182,9824.44545200893,0.028139520317055394,indoor,campus,ground,S4,0465.wav
14,0.00026092830529861967,141.59692083759654,4.742250457916057,0.07177814029363784,-12.084355354309082,1909.8899107792379,0.0160312931984663,0.6787036061286926,2737.2116672607535,4468.192339799143,0.0037150795269168028,outdoor,westend,trafalgar,S121,2115.wav
15,0.000373349955930105,0.0,0.0,0.0,-12.163934707641602,3628.817699329826,0.019241681322455406,0.6033201813697815,3219.3798854923907,7471.2659333881575,0.09205457899305555,indoor,british,greatcourt,S52,1150.wav
16,0.0006016177370740608,0.0,0.0,0.0,-11.728466033935547,7001.982994483866,0.02408626303076744,0.5191743969917297,3918.0415246312605,10740.345672527741,0.22296094769908617,outdoor,campus,canal,S31,0193.wav
17,0.0004096513334143361,265.3224272414756,3.573276917183096,0.018121911037891267,-11.150388717651367,3551.118492445348,0.020125359296798706,0.6029955148696899,3282.0670557075755,7664.223946535214,0.010945705055601319,outdoor,westend,trafalgar,S11,0150.wav
18,0.00024402032112700271,147.57288475195944,24.44205055836594,0.0681265206812652,-12.880615234375,4020.1696836324013,0.015357139520347118,0.6005412936210632,3416.348759161638,8122.470916970803,0.031306431531326034,indoor,campus,curve,S80,2190.wav
19,0.00047783732266007883,112.00774146309317,12.655932004774773,0.0748502994011976,-11.382052421569824,5708.904725193036,0.021238015964627266,0.5488333106040955,5450.501089450265,12448.189996959207,0.09151618637724551,indoor,kensington,marine,S179,0692.wav
20,0.00029362435083793323,381.28054689683233,27.213580446729537,0.02526595744680851,-13.795270919799805,3254.5432752957413,0.01693597063422203,0.5493921637535095,3703.556614582303,7166.89141456117,0.02823135700631649,indoor,campus,reception,S162,2494.wav
21,0.00029487194988714034,282.4249680911619,100.83616896551582,0.05465288035450517,-17.89063262939453,4565.988655533558,0.017037199810147285,0.6082627177238464,4650.146883192039,10571.43504200517,0.01607217042097489,indoor,Euston,library,S165,1956.wav
22,0.0003226540225257765,0.0,0.0,0.0,-12.840909957885742,3372.6476644304385,0.01775231771171093,0.6786085963249207,3685.4733849671234,7881.406798144387,0.009977670328655834,outdoor,british,forecourt,S6,0416.wav
23,0.0011680194238710621,0.0,0.0,0.0,-13.646212577819824,7204.229790232842,0.0319242961704731,0.49591362476348877,3783.6806941309496,10855.169328486887,0.23773642391859673,outdoor,campus,canal,S6,0947.wav
